,feature,importance
1952,V2967,0.033276725560666964
1955,V1437,0.032534100808392696
1992,V2589,0.02885840121142319
873,V2166,0.026268902202512878
1956,V3616,0.025616806603925124
2020,V0090,0.025275001604296188
886,V2185,0.024694150953339267
869,V2162,0.024559455008582975
1978,V3615,0.024054408292268015
2088,V2080,0.022125403159978685
1981,V1205,0.019930471655630777
2044,V1430,0.018672731847656165
1954,V2966,0.018183964396608687
696,V1737,0.017348685395101093
1959,V2899,0.017026519740807267
1960,V1819,0.01509375214965808
882,V2181,0.014996238858623334
1679,V4456,0.014971996180431102
1971,V0219,0.0141035392556626
1965,V2881,0.01364605194207269
884,V2183,0.013601082290763844
871,V2164,0.013485794535390283
878,V2171,0.01291907862583147
1957,V2900,0.012724024324802574
1818,V4731,0.01247827360661996
382,V0976,0.012127585207184322
1814,V4727,0.012037391175988732
1817,V4730,0.011838608027267383
1967,V4348,0.011429828579961832
1826,V4739,0.010928527714056557
1961,V1820,0.010779126123702965
1813,V4726,0.010758566546083315
2033,V4743,0.010664299769767016
1380,V3480,0.01066168778291482
1958,V4505,0.010543529831168408
876,V2169,0.010128351459813056
1963,V2860,0.009574068314819606
1966,V2855,0.009265292552421256
1962,V1818,0.009235776605577117
1969,V2862,0.008688198810611447
1973,V2859,0.008609222542914408
597,V1332,0.00851024541576989
1990,V1817,0.008310742413449257
2016,V0885,0.008303418245572736
2211,V4458,0.008223175863248833
1825,V4738,0.007945292106089519
1093,V2882,0.007182020573408443
1984,V4349,0.007052331399274969
2043,V1431,0.006898844073762345
2003,V0458,0.006517575355118932
1985,V0082,0.006326594713117029
2128,V0101,0.0062643500633426386
1953,V0386,0.006168599530694374
1968,V2861,0.006125608364011936
1987,V4350,0.005671676432519479
2007,V3099,0.0055326572249913
1980,V2635,0.005510945239698528
1993,V0085,0.005479965526002051
1982,V4716,0.005326630077801375
1989,V0083,0.005193730582090383
2027,V0096,0.005175817340648647
98,V0297,0.005118068101261475
1388,V3490,0.004943677289379389
2005,V4439,0.00467708864243932
1986,V2857,0.004657614271592225
1964,V1821,0.0046103247618801135
2001,V3102,0.004509668805789735
2045,V4363,0.004474967379531958
2004,V1544,0.004401180514079783
383,V0977,0.004382320082504387
2069,V2256,0.004361138746879878
1972,V4722,0.004182837552778318
100,V0301,0.0041081396400931
2078,V2856,0.004066557115961267
1974,V2948,0.003892140946744005
1994,V0121,0.0038285927382387674
2103,V2082,0.0037590615730606625
1988,V0459,0.0037585442607688258
97,V0295,0.0037090849946605498
2006,V4443,0.0035959265600927215
2065,V3098,0.0035404171256058214
2002,V4347,0.0035329856696126316
1667,V4421,0.003418164827130532
2012,V4719,0.0034110047837227486
2141,V4145,0.0033832847761928186
1998,V4434,0.0032733035252457965
2054,V0432,0.0031867255316567755
2097,V2078,0.0030306430383549854
1979,V2854,0.0028387009506114502
2026,V4435,0.00274797154824441
1997,V2947,0.0027406098978225435
1983,V0084,0.002681406633010308
2011,V0136,0.0025779562728316385
2039,V3103,0.002516448422991202
2087,V4525,0.0024486067464741246
2068,V0390,0.0023666300530914564
2032,V0163,0.0023323287319998998
1991,V0406,0.0022932694678842735
2035,V4720,0.002257646807483804
1996,V1816,0.002241887297216305
2010,V0460,0.0022393804774564208
2008,V2858,0.002229766080112716
2083,V2853,0.002218219698082724
2167,V2081,0.00221706843584607
2024,V2863,0.0022013799472586637
2094,V1814,0.0021593947155728044
2040,V4440,0.0021478932072129253
2009,V0120,0.002070079132018121
2076,V0884,0.00200852159969378
883,V2182,0.001942386868974022
2104,V2178,0.0019113868272274681
2048,V0092,0.0018424046503642821
2132,V2687,0.0018337109977402122
99,V0299,0.00180384668765865
2120,V0891,0.0017300935660712335
2125,V0098,0.0017146836680546063
2021,V0076,0.0017094056490383758
1970,V4717,0.0016813567962925546
1661,V4375,0.0016762821043525
1976,V4441,0.0016317387594834143
2110,V4617,0.0016178610428569384
2147,V1385,0.0015906871254871557
1418,V3535,0.0015681374875465837
881,V2180,0.0015522500235306547
2117,V0889,0.0014978805134477358
1668,V4422,0.0014939261016194694
2019,V2864,0.00146668769035041
2060,V0407,0.0014659712967326488
2063,V1543,0.001430943403734286
2089,V0931,0.001400640285950494
2042,V0093,0.0013703423897417633
2036,V4723,0.0013458569269749754
2014,V1812,0.0013333350778227948
2118,V1810,0.0012988042915935694
2034,V0137,0.0012649684510537273
885,V2184,0.0012386389399136055
2092,V1545,0.0012266769571092073
2093,V2992,0.0012133754287911858
2017,V1767,0.0012093267655452489
887,V2186,0.0012002337341258107
880,V2173,0.0011743246160869636
2146,V1803,0.001173506169395655
527,V1240,0.0011719677929161731
2188,V2617,0.0011651516670678208
2183,V2989,0.0011446049361541477
2180,V1799,0.001133055441225106
2153,V1536,0.0011080323409284887
2114,V1078,0.0010689250153727015
2023,V4725,0.001051335081522109
2157,V0905,0.0010346150007188304
2108,V1094,0.0010061647269567486
2197,V2076,0.0010059462558607568
877,V2170,0.0010051417418442399
1659,V4373,0.0009947320069910726
1542,V3841,0.0009913233003215338
2074,V0419,0.000972048581636964
2030,V0461,0.0009257282820847035
1681,V4463,0.0009243350216858182
2175,V4494,0.0009122996239666614
2070,V1765,0.0009113614936598347
2151,V0091,0.0009087485960444508
1995,V4724,0.0008884483795580933
2116,V2983,0.0008848063775490633
2061,V4418,0.00088088185951124
2013,V0075,0.0008791435262732739
2037,V0892,0.0008786150958454697
2075,V0433,0.0008709716335378315
2123,V0077,0.0008449131054204528
2038,V1390,0.000837126476069816
2051,V1213,0.0008363735682814233
2187,V4446,0.0008340669947913271
2143,V2174,0.0008335365316948784
2101,V2457,0.0008235611290108302
1444,V3582,0.0007978437341987776
2095,V1538,0.000792348613234517
2046,V1231,0.0007902993042113171
2072,V0203,0.0007874758008291072
2018,V1805,0.0007835502567899444
2025,V1762,0.0007654473497757941
2161,V2984,0.0007638671721394985
2102,V0173,0.0007623420463535591
2174,V2424,0.0007601195206279887
2031,V2458,0.0007438641335684171
2062,V0102,0.0007390786004226046
2022,V4442,0.000712219095932165
2121,V0388,0.0007078739586779959
2028,V1436,0.0007073508621314728
2139,V0919,0.0006957490592726101
2053,V1760,0.0006876579353486401
2055,V1690,0.0006842307549216331
2166,V4457,0.0006596841140001364
2000,V1531,0.0006384253504463921
1975,V4438,0.0006305177008130713
2050,V1688,0.0006224670451900893
2057,V1801,0.0006171047098191274
1977,V0095,0.0006152539259209888
634,V1429,0.0006137005228747938
2155,V0391,0.0005923648422650474
2136,V2988,0.0005906401718430709
1009,V2653,0.0005868543381087332
1543,V3842,0.0005699255338007525
1472,V3614,0.0005676770488260985
2129,V0004,0.0005562187877387048
2105,V3537,0.0005321312217698715
2059,V1692,0.0005318722545539223
1390,V3492,0.0005276139921159273
2096,V2459,0.0005139256431469508
1142,V3035,0.0005131821876006581
1445,V3583,0.0005106304732314104
2119,V0389,0.0005036673894680543
496,V1197,0.0004936298031935071
2149,V4324,0.0004918605186820524
1381,V3482,0.0004842196532720555
1256,V3230,0.00048383283226260954
1660,V4374,0.00048170393445051696
1616,V4260,0.00047388809785697816
2090,V3481,0.00046984333460342587
2112,V1535,0.000465912915560196
1384,V3486,0.0004599466027089827
2196,V2788,0.0004587442018753607
2138,V3536,0.00045196370760736126
2058,V0405,0.00045108989874453886
1125,V3018,0.0004477317530471314
1120,V3013,0.0004303780034141669
2194,V1081,0.0004222187579599468
2163,V2982,0.0004131183249309056
1265,V3239,0.0004090486389382031
1110,V3003,0.0004036382106017422
2107,V0150,0.00040243427502856255
2127,V0420,0.00039711810690945537
1999,V1432,0.00039109071137677365
2169,V0108,0.0003839368203530369
2086,V1442,0.0003828287935276897
2082,V0392,0.0003765181365725234
2091,V2188,0.00037361545639041926
2085,V0434,0.0003665199561315724
1656,V4369,0.00036550392910122964
2223,V0890,0.00036236685037172034
2052,V0888,0.0003579779480044065
1383,V3485,0.00035770161416237567
1101,V2994,0.00033495505857294994
2081,V0099,0.0003202936506357945
2212,V2270,0.0003199123321216413
2176,V0403,0.0003188941279089752
1394,V3496,0.00030993298426679194
1082,V2831,0.00030910507647657903
1662,V4376,0.00030704379144352867
2191,V2453,0.000294633948366263
2109,V1371,0.00028548273174228145
2079,V3097,0.00028175893795484575
2113,V0913,0.0002726422943956086
2207,V0945,0.0002691096482378974
1827,V4740,0.0002670837076831356
2049,V4417,0.0002666046315102366
2148,V1547,0.00025557740352416536
0,time,0.00025407156493706395
1392,V3494,0.00024978798177749395
503,V1207,0.0002460225124329418
2122,V2455,0.00024399697527499598
1134,V3027,0.00024218630888583892
93,V0241,0.00023877971399860476
2067,V2456,0.000230341845564197
2115,V0418,0.00022780092988605727
1141,V3034,0.00022342403342540118
2056,V0134,0.00022196073885299983
1004,V2647,0.0002209490139050141
2041,V0404,0.00022027118440415272
2204,V2924,0.00022017031706067502
2199,V4436,0.00021984549041431656
1523,V3717,0.00021470752619057176
1003,V2646,0.00021193934925722857
352,V0922,0.00020865926167573656
632,V1395,0.0002049280197028991
2073,V2454,0.00020201299507910386
2190,V3180,0.0002018321599301376
2173,V0011,0.00020003606826618503
2144,V2986,0.00019676630838089126
2203,V3309,0.00019180258423284746
2134,V0100,0.00018740682863965796
2184,V1838,0.00018635516300685717
875,V2168,0.00018393842770841884
2213,V2237,0.00017938582983995088
1127,V3020,0.00017936338244783911
2171,V4470,0.00017810725629180402
1655,V4367,0.00017676787199349953
1251,V3225,0.0001738438037238721
2178,V2448,0.0001737785702415895
2124,V2239,0.0001732731653760755
1014,V2659,0.0001692703339324919
999,V2642,0.00016768253260174282
1270,V3244,0.0001640360723957901
1657,V4370,0.0001615859477129833
1118,V3011,0.00016023309050311463
2159,V4495,0.00016008168805259348
1524,V3718,0.00015977510702114284
1008,V2652,0.00015666989074197835
2100,V2776,0.0001546376159817231
1442,V3576,0.00015157896575596075
2165,V0003,0.00015090836125952745
1126,V3019,0.000150453889542157
2202,V1546,0.0001500348994835643
1116,V3009,0.0001492514658141264
2099,V1221,0.00014833564900867957
1000,V2643,0.0001466794876551769
1514,V3690,0.00014531887651875186
2064,V1378,0.0001441383082985137
2164,V1085,0.00014309478104651552
1121,V3014,0.00013933211927519285
1629,V4327,0.00013864957928766408
1010,V2654,0.0001379875721399526
2047,V1245,0.00013717456676498596
2168,V2190,0.00013691494274326033
2137,V4483,0.00013691308102681266
1525,V3719,0.0001363898241409922
1654,V4365,0.00013355645337537192
1626,V4308,0.0001325764408280361
1258,V3232,0.00013236458319321187
1117,V3010,0.00013219947192882886
2220,V1223,0.00012102714225542544
1263,V3237,0.00012044384259518592
1393,V3495,0.00011876526499948747
631,V1394,0.00011765809107644465
2154,V3179,0.00011611165242647603
1255,V3229,0.00011265516385572383
879,V2172,0.0001116383466739923
1385,V3487,0.00011052011416207153
1526,V3720,0.00010655837301865034
2182,V0172,0.00010650988155619379
2084,V2942,0.00010547335921151646
1114,V3007,0.00010505912313124588
1106,V2999,0.00010075654513297394
1122,V3015,9.781004125319903e-05
528,V1241,9.732946045287738e-05
181,V0499,9.730016489151172e-05
1540,V3839,9.290331815886566e-05
1513,V3689,9.159816713977253e-05
2111,V0950,8.811648491025004e-05
1005,V2649,8.810123955216298e-05
1577,V4044,8.730594402173164e-05
1391,V3493,8.617602805843783e-05
1103,V2996,8.417894884832355e-05
1138,V3031,8.28149873680073e-05
1002,V2645,8.241505181383335e-05
868,V2161,8.187696347589091e-05
2193,V1222,8.140129458461542e-05
501,V1203,8.088215001067489e-05
1271,V3245,8.069721096742866e-05
553,V1275,8.058824310658297e-05
2206,V1826,8.011888461501027e-05
1102,V2995,7.99626282327881e-05
1132,V3025,7.974474610300541e-05
2185,V4366,7.968928744211956e-05
1262,V3236,7.878861034799067e-05
1135,V3028,7.856377368503642e-05
2152,V2985,7.795780909575223e-05
516,V1227,7.665855037591873e-05
1131,V3024,7.478855906428716e-05
614,V1372,7.454117127220217e-05
1257,V3231,7.30810658823855e-05
526,V1239,7.287846075504367e-05
1268,V3242,7.22035187578074e-05
740,V1866,7.130932632909426e-05
1111,V3004,7.058513907304276e-05
657,V1485,6.981963372987288e-05
285,V0751,6.807363995697813e-05
1515,V3691,6.729866542187768e-05
659,V1487,6.724618493453294e-05
2066,V1548,6.532229375133536e-05
1448,V3589,6.385761601140905e-05
2015,V0094,6.330877170090954e-05
2162,V1088,6.255441935376638e-05
2177,V1433,6.234533188304026e-05
1447,V3588,6.158626575369919e-05
1828,V4741,6.103293561832146e-05
2077,V0002,6.058235372163878e-05
725,V1851,6.0303291417374005e-05
653,V1474,5.989345563728321e-05
621,V1380,5.9113446651881674e-05
520,V1232,5.772593602115794e-05
1922,V5010,5.677165883483104e-05
519,V1230,5.498914066615068e-05
1254,V3228,5.381348147492915e-05
1115,V3008,5.361869095615868e-05
507,V1211,5.1439078863402266e-05
2186,V1369,5.08519093350146e-05
618,V1376,5.0085661678855864e-05
1823,V4736,4.900159315096575e-05
1130,V3023,4.881564921987991e-05
1013,V2658,4.879654905365349e-05
1011,V2656,4.867699992516794e-05
1387,V3489,4.7614280889951566e-05
2201,V4853,4.743412855973128e-05
94,V0242,4.59371184138857e-05
1260,V3234,4.5251576996307996e-05
2205,V3176,4.515848261021915e-05
1007,V2651,4.436998650847457e-05
2200,V1079,4.411543911014837e-05
1649,V4358,4.0933645934548846e-05
1001,V2644,4.0533175185153425e-05
722,V1848,4.049223998114915e-05
515,V1224,3.9733933864027904e-05
633,V1396,3.9376698293402956e-05
1443,V3577,3.8721029092581016e-05
2224,V2928,3.704699958023694e-05
84,V0211,3.663149092258955e-05
153,V0467,3.649194460791927e-05
1377,V3477,3.640653283393247e-05
500,V1201,3.534660093601483e-05
1664,V4414,3.505205025822189e-05
522,V1234,3.504266044174198e-05
1780,V4660,3.48443843822821e-05
139,V0449,3.450559836465361e-05
1275,V3249,3.373057046707206e-05
2208,V2971,3.3719470831694576e-05
1522,V3716,3.360248472872307e-05
1575,V4042,3.3354015865239006e-05
1658,V4371,3.2998760517044534e-05
177,V0495,3.202427264675789e-05
2192,V3351,3.1859392309374623e-05
1923,V5011,3.1652646618085534e-05
1012,V2657,3.094313376633684e-05
1915,V5003,3.0463504863575963e-05
1338,V3340,2.8385555217058656e-05
1113,V3006,2.7644306288987508e-05
2071,V0170,2.746072515175113e-05
1250,V3224,2.6121708860515902e-05
1119,V3012,2.6100734785039492e-05
34,V0117,2.5652311783308512e-05
1382,V3484,2.529270353002211e-05
544,V1259,2.490919967707006e-05
551,V1273,2.4729628916919655e-05
1259,V3233,2.4439137830734037e-05
529,V1242,2.42355026411345e-05
1533,V3817,2.404967415831072e-05
1261,V3235,2.3484309146448723e-05
1318,V3312,2.3444828137375584e-05
1666,V4416,2.2657268954506815e-05
1899,V4986,2.1954412947111646e-05
1386,V3488,2.1524081915413884e-05
616,V1374,2.150832091862842e-05
2131,V0202,2.0956254385640083e-05
2029,V1226,2.0764053991650933e-05
199,V0519,2.0650553107459668e-05
983,V2564,1.998538481495782e-05
205,V0526,1.9971350439684787e-05
2219,V2975,1.9723007181893237e-05
977,V2558,1.9692163845175248e-05
58,V0179,1.9666455239208958e-05
531,V1244,1.9546232196410163e-05
1703,V4538,1.9370950330555026e-05
1107,V3000,1.9219604162734605e-05
1379,V3479,1.9210342063147312e-05
1701,V4536,1.9140235799075533e-05
1687,V4489,1.8811047039601902e-05
1811,V4698,1.862392670470836e-05
1320,V3315,1.8482932074126435e-05
2172,V2382,1.7981332609384726e-05
1112,V3005,1.771190187216387e-05
1248,V3222,1.751432119617702e-05
1273,V3247,1.750852760423749e-05
1313,V3306,1.7440460882978126e-05
1287,V3262,1.7380331893246392e-05
1555,V3903,1.7271301251842175e-05
61,V0184,1.6760510591462552e-05
201,V0521,1.6756661415429086e-05
1474,V3618,1.620291829168563e-05
281,V0747,1.5460335676120707e-05
1272,V3246,1.4959512732615199e-05
724,V1850,1.4755500890029083e-05
1289,V3264,1.4752608848866977e-05
215,V0536,1.4661132570925606e-05
107,V0398,1.4600527323938017e-05
1754,V4612,1.435293554885586e-05
625,V1384,1.4206142008033051e-05
624,V1383,1.4131006930706569e-05
2150,V4040,1.40925423364191e-05
904,V2235,1.3893225443983859e-05
920,V2380,1.3746103497191964e-05
1585,V4094,1.3730098897712928e-05
647,V1467,1.3444871473644593e-05
1943,V5086,1.3413307126008966e-05
1553,V3899,1.3405587931780705e-05
896,V2226,1.3368779531841568e-05
2170,V0080,1.3205756945078306e-05
1822,V4735,1.2929552436757863e-05
1143,V3036,1.268635996554135e-05
325,V0832,1.2660591195479132e-05
714,V1835,1.2481551183385342e-05
56,V0177,1.2440745684072496e-05
351,V0921,1.2231346629310025e-05
1859,V4821,1.2078853512453858e-05
1136,V3029,1.2013893360973693e-05
895,V2225,1.1921910236134536e-05
1094,V2902,1.187894615323204e-05
1787,V4668,1.1860115484929601e-05
83,V0210,1.1763953862986565e-05
532,V1246,1.1714042304489247e-05
321,V0828,1.1661443565624818e-05
2098,V1204,1.1598164543102918e-05
1174,V3083,1.1493419934560656e-05
